Gen,Eth,Dis,year,count(*)
1,2,1,1970,13608
1,5,1,1970,60
1,6,1,1970,23
2,1,1,1970,12
2,2,1,1970,154
2,5,1,1970,417
2,6,1,1970,354
2,6,4,1970,10
3,6,1,1970,319
3,6,4,1970,124
1,1,1,1971,25
1,2,1,1971,28782
1,5,1,1971,115
1,6,1,1971,29
2,1,1,1971,12
2,2,1,1971,71
2,5,1,1971,879
2,5,4,1971,114
2,6,1,1971,430
2,6,4,1971,2
3,6,1,1971,363
3,6,4,1971,34
1,1,1,1972,35
1,2,1,1972,36836
1,5,1,1972,190
1,5,4,1972,5
1,6,1,1972,315
2,1,1,1972,6
2,2,1,1972,24
2,5,1,1972,623
2,5,4,1972,448
2,6,1,1972,1024
2,6,4,1972,11
3,6,1,1972,366
3,6,4,1972,20
1,1,1,1973,15
1,2,1,1973,54270
1,5,1,1973,460
1,5,4,1973,210
1,6,1,1973,171
2,1,1,1973,7
2,2,1,1973,38
2,5,1,1973,646
2,5,4,1973,70
2,6,1,1973,737
2,6,4,1973,104
3,6,1,1973,771
3,6,4,1973,439
1,1,1,1974,13
1,2,1,1974,53973
1,5,1,1974,517
1,6,1,1974,503
2,1,1,1974,217
2,2,1,1974,311
2,5,1,1974,1080
2,5,4,1974,218
2,6,1,1974,856
2,6,4,1974,63
3,1,1,1974,24
3,6,1,1974,704
3,6,4,1974,443
1,1,1,1975,65
1,2,1,1975,51435
1,5,1,1975,382
1,5,2,1975,3
1,6,1,1975,510
2,1,4,1975,1
2,2,1,1975,149
2,5,1,1975,1548
2,5,4,1975,182
2,6,1,1975,1127
2,6,4,1975,21
3,6,1,1975,1598
3,6,4,1975,288
1,1,1,1976,82
1,2,1,1976,76495
1,5,1,1976,128
1,5,2,1976,48
1,6,1,1976,1577
2,1,1,1976,209
2,2,1,1976,90
2,5,1,1976,2085
2,5,4,1976,102
2,6,1,1976,1459
2,6,4,1976,49
3,1,1,1976,12
3,1,4,1976,30
3,6,1,1976,2079
3,6,4,1976,608
1,1,1,1977,91
1,2,1,1977,63396
1,5,1,1977,197
1,5,4,1977,9
1,6,1,1977,2822
2,1,1,1977,89
2,1,4,1977,9
2,2,1,1977,294
2,5,1,1977,2881
2,5,4,1977,40
2,6,1,1977,2391
2,6,4,1977,17
3,1,1,1977,217
3,6,1,1977,1468
3,6,4,1977,523
1,1,1,1978,305
1,2,1,1978,85050
1,5,1,1978,1170
1,5,2,1978,36
1,5,4,1978,173
1,6,1,1978,1698
2,1,1,1978,60
2,1,4,1978,30
2,2,1,1978,377
2,5,1,1978,2085
2,5,4,1978,1151
2,6,1,1978,1540
2,6,4,1978,58
3,6,1,1978,1807
3,6,4,1978,614
1,1,1,1979,66
1,2,1,1979,114885
1,2,2,1979,8
1,5,1,1979,1156
1,5,2,1979,405
1,5,4,1979,716
1,6,1,1979,3882
2,1,1,1979,85
2,1,4,1979,18
2,2,1,1979,541
2,2,4,1979,3
2,5,1,1979,4480
2,5,3,1979,9
2,5,4,1979,1743
2,6,1,1979,2144
2,6,4,1979,67
3,6,1,1979,3847
3,6,4,1979,755
1,1,1,1980,102
1,2,1,1980,54640
1,5,1,1980,9468
1,5,2,1980,580
1,5,4,1980,656
1,6,1,1980,2712
2,1,1,1980,44
2,1,4,1980,5
2,2,1,1980,165
2,5,1,1980,1894
2,5,3,1980,14
2,5,4,1980,256
2,6,1,1980,1308
2,6,4,1980,108
3,1,1,1980,6
3,1,4,1980,12
3,6,1,1980,3102
3,6,2,1980,32
3,6,4,1980,571
1,1,1,1981,154
1,2,1,1981,89883
1,5,1,1981,7099
1,5,2,1981,224
1,5,4,1981,289
1,6,1,1981,3395
1,6,2,1981,5
1,6,4,1981,56
2,1,1,1981,157
2,1,4,1981,12
2,2,1,1981,875
2,5,1,1981,6713
2,5,4,1981,772
2,6,1,1981,2448
2,6,4,1981,80
3,1,1,1981,198
3,6,1,1981,3816
3,6,4,1981,1087
1,1,1,1982,268
1,2,1,1982,76842
1,5,1,1982,17836
1,5,2,1982,199
1,5,4,1982,940
1,6,1,1982,6179
2,1,1,1982,1256
2,1,4,1982,20
2,2,1,1982,1733
2,2,4,1982,144
