Patent Cell Name,Patent Count,Paper Cell Name,Paper Count
HCC 1937,470,HCC 2218,77
HCC 1954,558,HCC 38,130
HCC 202,84,HCC 70,140
HCC 2157,10,HCT 116,2768
HCC 2218,30,HCT 15,264
HCC 38,106,HCT 8,125
HCC 70,57,HeLa,8336
HCT 116,14279,Hep G 2,3423
HCT 15,2199,HEPM,6
HCT 8,857,HGC 27,51
HEL 92 1 7,126,HL 60,3267
HeLa,73564,HR 5,24
HeLa 229,39,HRA 19 a 1 1,2
HeLa B,25,Hs 578 T,1901
Hep G 2,21663,HT 1080,1010
HEPM,101,HT 115,43
HGC 27,24,HT 1197,48
HL 60,22644,HT 1376,40
HR 5,516,HT 29,3175
Hs 578 T,1116,HT 55,1
HT 1080,7550,HUT 78,31
HT 115,207,IMR 32,144
HT 1197,211,IOWA 1 T,7
HT 1376,476,Ishikawa,1251
HT 29,18564,J 45 01,26
HT 55,43,JEG 3,350
HUT 78,711,JIII,1
IMR 32,2688,JIYOYE,2
Ishikawa,9081,JU 77,2
J 45 01,29,JVM 2,5
JEG 3,725,K 1,694
JIII,2,K 562,4717
JIYOYE,21,KARPAS 422,1
Jurkat E 6 1,2,KATO III,67
JVM 2,52,KELLY,40
K 1,18414,KG 1,462
K 562,18747,KG 1 a,805
KARPAS 422,51,KU 812,34
KATO III,239,KYSE 150,7
KELLY,83,KYSE 30,13
KG 1,2119,KYSE 410,5
KG 1 a,919,KYSE 70,7
KU 812,799,LA N 1,12
KYSE 150,62,LACP 4,4
KYSE 30,21,LAPC 3,11
KYSE 410,6,LAPC 4,1173
KYSE 70,18,LC 2 ad,10
LA N 1,404,LIM 1215,11
LACP 4,41,LNCaP,41420
LAPC 3,166,LO 68,2
LAPC 4,3533,LoVo,446
LC 2 ad,17,LS 174 T,394
LIM 1215,152,LS 180,25
LNCaP,20023,LUDLU 1,61
LNCaP C 4,4,MB 157,13
LNCaP FGC,153,MC 116,1
LoVo,1568,MCC 13,1
LS 174 T,2485,MCF 7,117502
LS 180,656,MDA MB 134 VI,46
LUDLU 1,1,MDA MB 157,433
MB 157,5,MDA MB 175 VII,60
MC 116,143,MDA MB 231,44686
MCC 13,8,MDA MB 330,14
MCF 7,43227,MDA MB 453,2041
MDA MB 134 VI,31,MDA PCa 2 a,18
MDA MB 157,292,MDA PCa 2 b,133
MDA MB 175 VII,107,MEG 01,85
MDA MB 231,15559,Mero 14,45
MDA MB 330,43,MES SA,60
MDA MB 453,1910,MEWO,7
MDA PCa 2 a,1,MFE 280,14
MDA PCa 2 b,34,MFE 296,17
MEG 01,332,MFM 223,260
Mero 14,2,MIA Pa Ca 2,161
MES SA,1294,MKL 1,28
MEWO,33,ML 1,73
MFE 280,68,MM 127,5
MFE 296,17,MM 138,3
MFM 223,25,MM 415,2
MIA Pa Ca 2,508,MOLT 3,12
MKL 1,320,MOLT 4,132
ML 1,960,MOR,446
MM 127,6,Namalwa,95
MM 138,6,NB 69,9
MOLT 3,394,NCI H 292,34
MOLT 4,3205,NCI H 322,47
MOR,2581,NCI H 358,136
Namalwa,2644,NCI H 510 A,25
NB 69,28,NCI H 727,44
NCI H 292,2169,NCI H 929,71
NCI H 322,75,NTERA 2,560
NCI H 358,592,OAW 42,5
NCI H 510 A,47,OE 19,1
NCI H 727,32,OE 21,14
NCI H 929,556,OE 33,74
NH 17,34,ONE 58,2
NO 36,63,P 3 HR 1,69
NTERA 2,359,P 69 SV 40 T,41
OAW 42,45,PA 1,312
OE 19,97,PANC 1,610
OE 21,139,PC 14,149
OE 33,62,PC 3,45440
P 3 HR 1,293,PEA 1,32
P 69 SV 40 T,41,PEA 2,26
PA 1,2809,PEO 1,22
PANC 1,3045,PEO 14,10
PC 14,164,PEO 23,13
PC 3,28820,PEO 4,58
PEA 1,45,PEO 6,3
PEA 2,47,PNT 1 A,343
PEO 1,210,PSN 1,44
PEO 14,2,PWR 1 E,359
PEO 4,308,PZ HPV 7,240
PEO 6,35,QIMR WIL,1
PNT 1 A,36,RAJI,23
PSN 1,271,RAMOS,9
PWR 1 E,30,RCC 4,84
PZ HPV 7,118,RD,4731
QIMR WIL,5,Ri 1,2
RAJI,921,RPMI 2650,5
RAMOS,620,RPMI 8226,122
RCC 4,298,RPMI 8866,4
RD,13145,RWPE 1,2036
Ri 1,147,RWPE 2,172
RO 82 W 1,5,SCC 9,181
RPMI 2650,23,Sci 1,3
RPMI 8226,1993,SerBob,4
RPMI 8866,289,SH SY 5 Y,1021
RWPE 1,309,Shmac 5,2
RWPE 2,70,SHP 77,7
SCC 9,214,SK HEP 1,55
Sci 1,4,SK MES 1,249
SH SY 5 Y,4674,SK N AS,68
SHP 77,804,SK N DZ,36
SK HEP 1,268,SK N F 1,1
SK MES 1,645,SK N SH,294
SK N AS,612,SK OV 3,1616
SK N DZ,403,SK PN DW,9
SK N F 1,158,SkBr 3,324
SK N SH,1483,SNU C 2 B,1
SK OV 3,7933,SUP T 1,4
SK PN DW,11,SVCT,7
SkBr 3,211,SW 1116,38
SNU C 2 B,19,SW 13,95
SUP T 1,217,SW 1417,4
SVCT,10,SW 1463,4
SW 1116,605,SW 403,32
SW 13,537,SW 48,64
SW 1417,132,SW 480,1095
SW 1463,206,SW 620,770
SW 403,227,SW 626,7
SW 48,396,SW 837,23
SW 480,6291,SW 948,29
SW 620,3572,T 47 D,17783
SW 626,186,T 84,98
SW 837,224,T 98 G,277
SW 948,402,TF 1,813
T 47 D,9345,THP 1,1314
T 47 D KBluc,7,TT,3586
T 84,3004,U 266 B 1,10
T 98 G,1646,U 373 MG,160
TF 1,6065,U 87 MG,864
THP 1,16352,UACC 2648,1
TO 14,2,UACC 3133,2
TT,17330,UACC 3199,19
U 266 B 1,123,UACC 812,210
U 373 MG,640,UACC 893,101
U 87 MG,6132,UM RC 2,1
UACC 812,68,UM RC 3,1
UACC 893,40,UM UC 1,1
UM RC 2,76,UM UC 14,1
UM RC 3,72,UM UC 9,1
UM UC 1,1,VA ES BJ,11
UM UC 14,119,VCaP,1461
UM UC 9,15,VP 229,6
VA ES BJ,4,VP 267,4
VCaP,753,VP 303,2
WERI,23,WERI,3
WM 115,298,WM 115,65
WM 266 4,347,WM 266 4,22
WPE 1 NA 22,5,WPE 1 NA 22,41
WPMY 1,5,WPE 1 NB 11,79
WRL 68,84,WPE 1 NB 14,87
Y 79,749,WPE 1 NB 26,111
ZR 75 1,2684,WPE int,68
ZR 75 30,244,WPE stem,93
,,WPMY 1,134
,,WRL 68,13
,,Y 79,232
,,ZR 75 1,4440
,,ZR 75 30,278
