Patent Cell Name,Patent Count,Paper Cell Name,Paper Count
1301,8228,1301,237
1321 N 1,688,1321 N 1,36
1411 H,6,1411 H,1
22 Rv 1,771,22 Rv 1,2103
59 M,14,600 MPE,9
600 MPE,30,833 KE,5
8505 C,16,8505 C,5
A 172,1360,A 172,274
A 2058,1154,A 2058,137
A 2780,3038,A 2780,822
A 375,5075,A 375,496
A 431,11509,A 431,1303
A 549,33036,A 549,12622
A 673,909,A 673,82
A 704,194,ACHN,151
ACHN,2144,AGS,372
AGS,4340,ARCaP,131
ARCaP,2,ARH 77,72
ARH 77,657,AsPC 1,259
AsPC 1,1130,AU 565,409
AU 565,246,BeWo,100
BeWo,415,BICR 3,11
BICR 3,1,BICR 56,11
BICR 56,1,BICR 6,4
BICR 6,1,Bob,258
Bob,1038,BT 20,2705
BT 20,2044,BT 474,4974
BT 474,5017,BT 483,164
BT 483,585,BT 549,1771
BT 549,1640,BxPC 3,389
BxPC 3,3184,C 170,7
C 170,566,C 32,58
C 32,3005,C 32 TG,7
C 32 TG,8,C 4,1616
C 4,74974,C 4 2,2640
C 4 2,1639,C 4 2 B,1442
C 4 2 B,226,C 8166,6
C 4 I,50,CA 46,55
C 4 II,17,CA HPV 10,206
C 8166,430,Ca Ski,164
CA 46,383,CACO 2,20
CA HPV 10,21,CAKI 2,3
Ca Ski,767,CALU 1,12
CACO 2,374,CCF STTG 1,67
CAKI 2,26,CCRF CEM,190
CALU 1,112,CCRF HSB 2,10
CCF STTG 1,124,CFPAC 1,52
CCRF CEM,3857,CHP 134,8
CCRF HSB 2,120,COLO 201,5
CFPAC 1,636,COLO 205,27
ChaGo K 1,35,COLO 206 F,1
CHP 134,112,COLO 320 DM,9
COLO 201,55,COLO 679,1
COLO 205,782,COR L 23,10
COLO 206 F,39,COR L 23 R,3
COLO 320 DM,44,COR L 24,3
COLO 320 HSR,12,COR L 47,2
COLO 679,2,COR L 88,8
COR L 23,65,COV 434,1
COR L 23 R,12,DAUDI,28
COR L 24,1,DBTRG 05 MG,19
COV 434,27,Detroit 562,22
DAUDI,152,DLD 1,593
DBTRG 05 MG,113,DMS 273,20
Detroit 562,66,DMS 454,2
DLD 1,2647,DMS 53,96
DMS 153,108,DMS 79,4
DMS 273,30,DU 145,20513
DMS 53,91,EB 3,201
DMS 79,107,EJ 138,11
DU 145,12454,EoL 1,3
EB 3,506,Evsa T,71
EJ 138,21,F 36 P,47
EoL 1,31,FLYA 13,4
Evsa T,4,FLYRD 18,28
F 36 P,2,FTC 133,4
FLYA 13,40,FTC 236,3
FLYRD 18,18,FTC 238,2
FTC 133,72,G 361,59
FTC 236,1,G 401,37
FTC 238,14,GR M,51
G 361,1443,H 103,3
G 401,170,H 157,364
G 402,77,H 357,76
GR M,280,H 376,2
H 103,250,H 400,2
H 157,367,H 69,393
H 357,35,H EMC SS,1
H 376,54,HCA 2,30
H 400,69,HCA 7,18
H 69,753,HCC 1008,7
H EMC SS,2,HCC 1143,252
HCA 2,77,HCC 1187,182
HCA 7,56,HCC 1395,74
HCC 1008,13,HCC 1419,77
HCC 1143,200,HCC 1428,188
HCC 1187,102,HCC 1500,149
HCC 1395,31,HCC 1569,111
HCC 1419,29,HCC 1599,174
HCC 1428,66,HCC 1806,265
HCC 1500,44,HCC 1937,2182
HCC 1569,84,HCC 1954,1162
HCC 1599,96,HCC 202,178
HCC 1806,35,HCC 2157,44
