cell_number,"Gen# (1 = Female, Male = 2, Unspecified = 3)","Eth# (1 = Asian, 2 = Black, Hispanic = 3, Caucasian/White = 4, Unspecified = 5)","Dis# (1=General, 2 = Breast Cancer, 3 = Prostate Cancer, Lung Cancer = 4, Leukemia/Lymphona=5)",Year,Age,"Contaminated by HeLa or other (1=Yes, contaminated, 0=No, not  contaminated)",Patent Count,Paper Count
CCF STTG 1,1,4,1,1984,68,0,2688,1251
LNCaP,2,4,3,1977,50,0,0,0
UM RC 2,3,5,1,1985,-10,0,9081,0
OV 58,1,5,1,1995,52,0,29,26
MM 138,3,5,1,1973,-10,0,725,350
59 M,1,5,1,1989,-10,0,2,1
A 172,2,5,1,1973,53,0,21,2
Hs 578 T,1,4,2,1977,74,0,0,2
PEA 2,3,5,1,1988,-10,0,2,0
HeLa 229,1,2,1,0,31,0,52,5
TO 14,1,5,1,0,-10,0,18414,694
OAW 42,1,5,1,1989,-10,0,18747,4717
SW 620,1,4,1,1976,51,0,51,1
1301,1,4,5,0,4,0,239,67
WM 266 4,1,5,1,2009,58,0,0,0
PWR 1 E,2,4,3,1997,67,0,83,40
HCA 7,1,5,1,1985,58,0,2119,462
C 32,2,4,1,1973,53,0,919,805
MDA MB 134 VI,1,4,2,1974,47,0,799,34
TE 671,3,4,1,0,7,1,62,7
TF 1,2,1,1,1987,35,0,21,13
MDA MB 175 VII,1,2,2,1973,56,0,6,5
MDA MB 231,1,4,2,1974,51,0,18,7
WPE 1 NA 22,2,4,3,1994,54,0,0,0
WPE 1 NB 11,2,4,3,1994,54,0,0,0
P 3 HR 1,2,2,5,1967,7,0,404,12
MEG 01,2,5,5,1983,55,0,41,4
UM UC 14,2,5,1,2006,-10,0,166,11
UM UC 2,3,5,1,1984,-10,1,3533,1173
MDA MB 330,1,4,2,1976,43,0,17,10
RO 82 W 1,1,5,1,1989,-10,0,152,11
G 402,1,4,1,2015,0.75,0,20023,41420
C 32 TG,2,4,1,0,53,0,4,2
C 4,2,4,3,1962,50,0,0,0
C 4 2 ,1,4,1,0,41,0,153,446
C 4 2 B,2,4,3,0,50,0,0,0
SW 837,1,4,1,1976,53,0,0,0
MM 415,3,5,1,1997,-10,0,1568,0
HCC 1806,1,2,2,1997,60,0,2485,394
HCC 1937,1,4,2,1995,23,0,656,25
HL 60 M 2,1,4,5,0,36,0,1,61
A 2780,1,5,1,1987,-10,0,5,13
PEO 1,3,5,1,1988,-10,0,143,1
UACC 3133,1,4,2,2000,52,0,8,1
HUT 78,2,4,5,1980,53,0,0,0
COR L 23,1,4,4,1985,62,0,43227,117502
COR L 24,2,5,1,1985,71,0,31,46
A 375,1,5,1,1973,54,0,292,433
A 2058,2,4,1,2001,43,0,107,60
COR L 47,2,5,4,1985,-10,0,15559,44686
DMS 92,2,4,4,1980,39,0,43,14
COR L 88,2,4,1,1985,55,0,0,0
DMS 153,2,4,4,1980,44,0,0,0
LS 174 T,1,4,1,1980,58,0,0,0
DU 145,2,4,3,1978,69,0,1910,2041
ALVA 55,2,5,3,1996,-10,1,1,18
ARCaP,2,5,3,1996,-10,0,34,133
PZ HPV 7,2,5,3,1994,70,0,332,85
SK OV 3,3,4,1,1973,64,0,2,45
HCC 1937,1,4,2,1995,23,0,1294,60
Mero 14,2,5,1,1989,61,0,0,0
COV 434,1,5,1,1993,-10,0,33,7
LAPC 3,2,5,3,1997,-10,0,68,14
TT,1,4,1,1981,77,0,17,17
HS Sultan,2,2,5,1974,7,1,25,260
DMS 273,1,5,4,1990,50,0,508,161
Hep 2,1,2,1,1954,-10,1,320,28
PA 1,1,4,1,1974,12,0,960,73
NCI H 929,1,4,5,1990,62,0,6,5
NCI H660,2,4,3,1995,63,0,6,3
UM UC 3,2,5,1,1986,-10,1,0,0
MOLT 3,2,5,5,1972,19,0,394,2
MOLT 4,2,5,5,1972,19,0,3205,12
SCC 9,2,5,1,1981,25,0,2581,132
MOR,3,5,4,1986,-10,0,2644,446
U 266 B 1,2,5,5,1970,53,0,28,95
A 549,2,4,4,1972,58,0,2169,9
HCC 202,1,4,2,1992,82,0,75,34
PLC PRF 5,3,5,1,1988,-10,0,592,47
HCC 70,1,2,2,1992,49,0,47,136
HMVII,1,5,1,1989,65,1,32,25
HRA 19 a 1 1,2,5,1,1986,66,0,556,44
KU 812,2,1,5,1981,38,0,0,0
QIMR WIL,1,5,5,1968,-10,0,34,71
SW 948,2,4,1,1976,81,0,63,560
HCC 1954,1,1,2,1995,61,0,359,5
SK PN DW,3,4,1,1979,17,0,45,1
IMR 32,2,4,1,1967,1.083333333,0,97,14
IOWA 1 T,1,4,2,2012,55,0,139,74
KYSE 30,2,5,1,1992,64,0,62,2
T 47 D,2,5,2,1979,54,0,0,0
UACC 3199,1,4,2,1994,58,0,0,0
BeWo,2,5,1,1959,-10,0,293,69
U 373 MG,3,5,1,1968,-10,0,41,41
CWR R1,2,5,3,2003,-10,0,2809,312
DMS 454,2,4,4,1981,-10,0,3045,610
SkBr 3,3,4,1,1970,43,0,164,149
HCC 1395,1,4,2,1994,43,0,28820,45440
WERI,3,5,1,1974,-10,0,0,0
LS 180,1,4,1,1980,58,0,0,0
SHP 77,2,4,4,1977,54,0,45,32
SK HEP 1,2,4,1,1971,52,0,47,26
SK MES 1,2,4,4,1975,65,0,210,22
SK N AS,1,4,1,1981,6,0,2,10
SK N BE 2,2,4,1,1972,1.833333333,0,0,13
SK N DZ,1,4,1,1978,2,0,308,58
SK N F 1,2,4,1,1979,11,0,35,3
SK N MC,1,4,1,1973,14,1,0,0
UACC 812,1,5,2,1991,-10,0,36,343
WRL 68,3,5,1,1972,-10,0,0,0
VCaP,2,4,3,1997,59,0,0,0
MES SA,1,4,1,1980,56,0,271,44
