cell_number,count(*)
NCI-H292,4
NCI-H322,1
NCI-H358,4
NCI-H929,15
NE 1 3,21
NE 1 8,19
Neural progenitor cell,21
NTERA 2,668
NTERA2,60
OAW 42,7
OE 19,2
OE 21,16
OE 33,82
OE19,3
OE21,1
OE33,9
ONE 58,3
ONE58,1
P 25 48,3
P 3 HR 1,76
P 4 E 6,72
P 69 SV 40 T,53
P25.48,1
P3HR 1,7
P3HR-1,3
P4E6,8
P69SV40T,11
PA 1,371
PA1,37
PANC 1,756
PANC-1,40
PC 14,178
PC 3,51126
PC 93,30
PC14,27
PEA 1,37
PEA 2,29
PEA1,5
PEA2,5
PEO 1,27
PEO 14,12
PEO 23,15
PEO 4,66
PEO 6,4
PEO1,7
PLC/PRF/5,249
PNT 1 A,384
PNT1A,31
PPC 1,335
PSN 1,49
PSN1,3
PTEN CaP 8,57
PTEN CaP8,2
PTEN P 8,24
PTEN P8,1
PWR 1 E,391
PWR 1E,19
PZ HPV 7,308
QIMR WIL,2
RAJI,45
RAMOS,27
RCC 4,92
RCC4,7
RD,7312
Ri 1,4
RPMI 2650,9
RPMI 8226,163
RPMI 8866,6
RPMI8226,48
RT 4,232
RT4,45
RWPE 1,2340
RWPE 2,214
SCC 9,192
SCC9,11
Sci 1,6
Sci1,1
SerBob,6
SH SY 5 Y,1233
SH SY5Y,76
SH-SY5Y,247
Shmac 5,3
SHP 77,12
SK HEP 1,80
SK MES 1,284
SK N AS,93
SK N BE (2),156
SK N BE(2),3
SK N DZ,49
SK N F 1,2
SK N F1,1
SK N MC,219
SK N SH,445
SK OV 3,2046
SK PN DW,13
SK-HEP-1,4
SK-N-AS,10
SK-N-BE(2),3
SK-N-DZ,6
SK-N-F1,1
SK-N-MC,22
SK-N-SH,34
SK-PN-DW,2
SkBr 3,367
SkBr3,24
SKMES 1,118
SKMES1,6
SKNAS,2
SKNBE (2),2
SKNSH,2
SKOV 3,187
SKOV3,137
SNU C 2 B,2
SNUC 2 B,1
SUP T 1,5
SUP T1,2
SUP-T1,1
SVCT,9
SW 1116,50
SW 13,140
SW 1417,6
SW 1463,7
SW 403,41
SW 48,113
SW 480,1546
SW 620,1012
SW 626,9
SW 837,33
SW 948,43
SW1116,1
SW13,5
SW403,8
SW48,11
SW480,89
SW620,43
SW837,12
T 47 D,19825
T 47 D KBluc,3
T 47D,1460
T 84,134
T 98 G,346
T47 D,1257
T47D,1242
T47D KBluc,3
T84,39
T98G,96
TE 671,96
TE671,22
TF 1,927
TF1,64
THP 1,1703
THP-1,121
TRAMP C 1,277
TRAMP C 2,657
TRAMP C 3,8
TRAMP C1,25
TRAMP C2,26
TRAMP C3,4
TSU Pr 1,350
TSU Pr1,349
TSU Pri,4
TT,5552
U 266 B 1,15
U 373 MG,236
U 87 MG,1157
U 937,1932
U-87 MG,12
U266B1,5
U373MG,29
U87MG,98
U937,568
UACC 2648,2
UACC 3133,5
UACC 3199,24
UACC 812,262
UACC 893,152
UM RC 2,2
UM RC 3,2
UM UC 1,2
UM UC 14,2
UM UC 3,121
UM UC 9,2
UM-UC-3,4
UMRC2,1
UMRC3,1
UMUC3,2
VA ES BJ,13
VA-ES-BJ,2
VCaP,1688
VP 229,8
VP 267,6
VP 303,3
WERI,9
WiDr,310
WISH,424
WKD,2
WM 115,77
WM 266 4,31
WM115,11
WM266-4,3
WPE 1 NA 22,45
WPE 1 NB 11,83
WPE 1 NB 14,93
WPE 1 NB 26,118
WPE 1 NB 26 65,1
WPE int,70
WPE stem,97
WPE1 NA22,2
WPE1 NB11,4
WPE1 NB14,4
WPE1 NB26,5
WPMY 1,164
WRL 68,16
Y 79,261
Y79,34
ZR 75 1,5756
ZR 75 30,380
ZR 751,39
ZR 7530,6
ZR-75-1,20
ZR-75-30,3
