Gen,Eth,Dis,year,count(*)
1,5,2,2007,15
1,5,2,2008,1
1,5,2,2009,21
1,5,2,2010,17
1,5,2,2011,97
1,5,2,2012,3
1,5,2,2013,13
1,5,4,2013,1
1,5,4,2014,20
1,5,5,NULL,22
1,5,5,1970,1
1,5,5,1978,3
1,5,5,1980,6
1,5,5,1982,29
1,5,5,1983,32
1,5,5,1984,22
1,5,5,1986,12
1,5,5,1987,12
1,5,5,1988,6
1,5,5,1989,16
1,5,5,1990,42
1,5,5,1991,21
1,5,5,1992,9
1,5,5,1993,26
1,5,5,1994,18
1,5,5,1995,20
1,5,5,1996,20
1,5,5,1997,97
1,5,5,1998,78
1,5,5,1999,130
1,5,5,2000,189
1,5,5,2001,207
1,5,5,2002,161
1,5,5,2003,168
1,5,5,2004,111
1,5,5,2005,122
1,5,5,2006,185
1,5,5,2007,268
1,5,5,2008,254
1,5,5,2009,185
1,5,5,2010,405
1,5,5,2011,383
1,5,5,2012,436
1,5,5,2013,814
1,5,5,2014,308
2,1,1,NULL,1
2,1,1,1986,3
2,1,1,1987,1
2,1,1,1997,2
2,1,1,1998,42
2,1,1,1999,50
2,1,1,2000,59
2,1,1,2001,36
2,1,1,2002,6
2,1,1,2003,112
2,1,1,2004,36
2,1,1,2005,46
2,1,1,2006,16
2,1,1,2007,73
2,1,1,2008,50
2,1,1,2009,65
2,1,1,2010,119
2,1,1,2011,65
2,1,1,2012,34
2,1,1,2013,7
2,1,1,2014,7
2,1,5,1999,1
2,1,5,2001,5
2,1,5,2002,1
2,1,5,2005,1
2,1,5,2007,11
2,1,5,2008,2
2,1,5,2010,4
2,1,5,2011,5
2,1,5,2012,2
2,1,5,2013,2
2,2,2,1982,1
2,2,2,1986,1
2,2,2,1987,1
2,2,2,1990,4
2,2,2,2006,1
2,2,2,2008,2
2,2,2,2010,2
2,2,2,2012,1
2,2,3,2002,49
2,2,3,2004,30
2,2,3,2006,1
2,2,3,2008,2
2,2,3,2009,1
2,2,3,2010,33
2,2,3,2011,9
2,2,3,2012,10
2,2,3,2013,5
2,2,3,2014,11
2,2,5,1977,17
2,2,5,1983,4
2,2,5,1989,4
2,2,5,1992,2
2,2,5,1995,2
2,2,5,1997,3
2,2,5,1998,7
2,2,5,2004,44
2,2,5,2005,1
2,2,5,2006,3
2,2,5,2007,3
2,2,5,2008,2
2,2,5,2009,4
2,2,5,2012,3
2,2,5,2013,15
2,2,5,2014,8
2,4,1,NULL,17
2,4,1,1983,12
2,4,1,1984,27
2,4,1,1985,1
2,4,1,1986,2
2,4,1,1987,6
2,4,1,1988,15
2,4,1,1989,36
2,4,1,1990,9
2,4,1,1991,24
2,4,1,1992,36
2,4,1,1993,9
2,4,1,1994,49
2,4,1,1995,45
2,4,1,1996,11
2,4,1,1997,86
2,4,1,1998,31
2,4,1,1999,100
2,4,1,2000,93
2,4,1,2001,119
2,4,1,2002,186
2,4,1,2003,323
2,4,1,2004,266
2,4,1,2005,205
2,4,1,2006,229
2,4,1,2007,279
2,4,1,2008,477
2,4,1,2009,587
2,4,1,2010,822
2,4,1,2011,893
2,4,1,2012,1079
2,4,1,2013,1224
2,4,1,2014,506
2,4,3,NULL,1394
2,4,3,1957,1
2,4,3,1962,2
2,4,3,1975,1
2,4,3,1977,1
2,4,3,1978,4
2,4,3,1979,5
2,4,3,1980,4
2,4,3,1981,5
2,4,3,1982,27
2,4,3,1983,4
2,4,3,1984,108
2,4,3,1985,22
2,4,3,1986,58
2,4,3,1987,40
2,4,3,1988,55
2,4,3,1989,315
2,4,3,1990,294
2,4,3,1991,495
2,4,3,1992,413
2,4,3,1993,317
2,4,3,1994,951
2,4,3,1995,1152
2,4,3,1996,1424
2,4,3,1997,1296
2,4,3,1998,1559
2,4,3,1999,1795
2,4,3,2000,1836
2,4,3,2001,3033
2,4,3,2002,3200
2,4,3,2003,3571
2,4,3,2004,5379
2,4,3,2005,4801
2,4,3,2006,5653
2,4,3,2007,6775
2,4,3,2008,6671
2,4,3,2009,9102
2,4,3,2010,10759
2,4,3,2011,10018
2,4,3,2012,12458
2,4,3,2013,14393
2,4,3,2014,5692
2,4,4,NULL,49
2,4,4,1983,10
2,4,4,1984,4
2,4,4,1986,21
2,4,4,1987,7
2,4,4,1988,3
2,4,4,1989,57
2,4,4,1990,3
2,4,4,1991,2
2,4,4,1992,9
2,4,4,1994,15
2,4,4,1995,44
2,4,4,1996,35
2,4,4,1997,28
2,4,4,1998,22
2,4,4,1999,84
2,4,4,2000,42
2,4,4,2001,35
2,4,4,2002,61
2,4,4,2003,203
2,4,4,2004,102
2,4,4,2005,171
2,4,4,2006,353
2,4,4,2007,178
2,4,4,2008,592
2,4,4,2009,1046
2,4,4,2010,1441
2,4,4,2011,1561
2,4,4,2012,2563
2,4,4,2013,3329
2,4,4,2014,1352
2,4,5,1970,2
2,4,5,1972,1
2,4,5,1980,1
2,4,5,1991,2
2,4,5,1994,1
2,4,5,1997,8
2,4,5,1998,16
2,4,5,1999,91
2,4,5,2000,30
2,4,5,2001,117
2,4,5,2002,41
2,4,5,2003,31
2,4,5,2004,92
2,4,5,2005,30
2,4,5,2006,69
2,4,5,2007,39
2,4,5,2008,36
2,4,5,2009,165
2,4,5,2010,201
2,4,5,2011,159
2,4,5,2012,140
2,4,5,2013,87
2,4,5,2014,159
2,5,1,NULL,1
2,5,1,1980,3
2,5,1,1984,17
2,5,1,1985,3
2,5,1,1986,7
2,5,1,1987,29
2,5,1,1988,15
2,5,1,1990,3
2,5,1,1991,1
2,5,1,1992,3
2,5,1,1993,10
2,5,1,1994,33
2,5,1,1995,5
2,5,1,1996,50
2,5,1,1997,43
2,5,1,1998,8
2,5,1,1999,42
2,5,1,2000,24
2,5,1,2001,76
2,5,1,2002,63
2,5,1,2003,87
2,5,1,2004,102
2,5,1,2005,48
2,5,1,2006,92
2,5,1,2007,213
2,5,1,2008,296
2,5,1,2009,343
2,5,1,2010,545
2,5,1,2011,460
2,5,1,2012,850
2,5,1,2013,1252
2,5,1,2014,457
2,5,2,NULL,349
2,5,2,1979,23
2,5,2,1980,8
2,5,2,1981,22
2,5,2,1982,56
2,5,2,1983,55
2,5,2,1984,119
2,5,2,1985,75
2,5,2,1986,76
2,5,2,1987,228
2,5,2,1988,102
2,5,2,1989,291
2,5,2,1990,217
2,5,2,1991,367
2,5,2,1992,407
2,5,2,1993,390
2,5,2,1994,345
2,5,2,1995,401
2,5,2,1996,489
2,5,2,1997,278
2,5,2,1998,380
2,5,2,1999,324
2,5,2,2000,360
2,5,2,2001,327
2,5,2,2002,388
2,5,2,2003,667
2,5,2,2004,619
2,5,2,2005,698
2,5,2,2006,904
2,5,2,2007,630
2,5,2,2008,974
2,5,2,2009,1045
2,5,2,2010,1059
2,5,2,2011,1198
2,5,2,2012,1580
2,5,2,2013,1683
2,5,2,2014,649
2,5,3,NULL,33
2,5,3,1974,1
2,5,3,1975,4
2,5,3,1994,5
2,5,3,1995,4
2,5,3,1996,22
2,5,3,1997,58
2,5,3,1998,6
2,5,3,1999,20
2,5,3,2000,80
2,5,3,2001,24
2,5,3,2002,86
2,5,3,2003,60
2,5,3,2004,177
2,5,3,2005,205
2,5,3,2006,333
2,5,3,2007,192
2,5,3,2008,391
2,5,3,2009,172
2,5,3,2010,310
2,5,3,2011,467
2,5,3,2012,847
2,5,3,2013,880
2,5,3,2014,135
2,5,4,1990,1
2,5,4,1994,5
2,5,4,1995,1
2,5,4,2001,5
2,5,4,2002,2
2,5,4,2004,12
2,5,4,2006,6
2,5,4,2007,5
2,5,4,2008,4
2,5,4,2009,22
2,5,4,2010,57
2,5,4,2011,189
2,5,4,2012,168
2,5,4,2013,112
2,5,4,2014,9
2,5,5,NULL,2
2,5,5,1969,1
2,5,5,1984,2
2,5,5,1986,1
2,5,5,1989,9
2,5,5,1992,1
2,5,5,1993,3
2,5,5,1994,7
2,5,5,1995,2
2,5,5,1996,3
2,5,5,1997,34
2,5,5,1998,74
2,5,5,1999,41
2,5,5,2000,8
2,5,5,2001,33
2,5,5,2002,39
2,5,5,2003,20
2,5,5,2004,18
2,5,5,2005,21
2,5,5,2006,31
2,5,5,2007,63
2,5,5,2008,26
2,5,5,2009,155
2,5,5,2010,74
2,5,5,2011,193
2,5,5,2012,537
2,5,5,2013,210
2,5,5,2014,147
3,1,1,1988,1
3,1,1,1990,7
3,1,1,1998,8
3,1,1,2000,1
3,1,1,2002,1
3,1,1,2005,31
3,1,1,2010,2
