Gen,Eth,Dis,year,count(*)
2,6,3,2015,4
2,6,4,2001,19
2,6,4,2002,42
2,6,4,2003,23
2,6,4,2004,19
2,6,4,2005,14
2,6,4,2006,14
2,6,4,2007,19
2,6,4,2008,3
2,6,4,2009,26
2,6,4,2010,20
2,6,4,2011,4
2,6,4,2012,28
2,6,4,2013,70
2,6,4,2014,36
2,6,4,2015,29
2,6,4,2016,10
3,1,1,2001,138
3,1,1,2002,36
3,1,1,2003,253
3,1,1,2004,280
3,1,1,2005,34
3,1,1,2006,110
3,1,1,2007,106
3,1,1,2008,124
3,1,1,2009,73
3,1,1,2010,181
3,1,1,2011,156
3,1,1,2012,238
3,1,1,2013,254
3,1,1,2014,133
3,1,1,2015,169
3,1,1,2016,110
3,1,3,2005,2
3,1,3,2006,1
3,1,3,2008,3
3,1,3,2010,3
3,1,3,2011,1
3,1,3,2012,1
3,1,3,2013,1
3,1,4,2002,1
3,1,4,2005,1
3,1,4,2008,1
3,1,4,2009,1
3,1,4,2010,2
3,1,4,2012,1
3,1,4,2013,3
3,5,4,2001,1
3,5,4,2004,4
3,5,4,2005,9
3,5,4,2006,11
3,5,4,2007,2
3,5,4,2008,9
3,5,4,2009,11
3,5,4,2010,3
3,5,4,2011,7
3,5,4,2013,55
3,5,4,2014,4
3,5,4,2015,22
3,5,4,2016,2
3,6,1,2001,13544
3,6,1,2002,14036
3,6,1,2003,15579
3,6,1,2004,14512
3,6,1,2005,15635
3,6,1,2006,22229
3,6,1,2007,21267
3,6,1,2008,18329
3,6,1,2009,22676
3,6,1,2010,28330
3,6,1,2011,28007
3,6,1,2012,32015
3,6,1,2013,38140
3,6,1,2014,41375
3,6,1,2015,42358
3,6,1,2016,17004
3,6,2,2001,2
3,6,2,2002,3
3,6,2,2006,3
3,6,2,2007,1
3,6,2,2008,2
3,6,2,2010,1
3,6,2,2011,1
3,6,2,2012,9
3,6,2,2013,8
3,6,2,2014,2
3,6,2,2015,3
3,6,2,2016,7
3,6,3,2006,1
3,6,3,2007,1
3,6,3,2008,1
3,6,3,2010,34
3,6,3,2011,9
3,6,3,2012,182
3,6,3,2013,74
3,6,3,2014,198
3,6,3,2015,155
3,6,3,2016,97
3,6,4,2001,513
3,6,4,2002,580
3,6,4,2003,724
3,6,4,2004,610
3,6,4,2005,439
3,6,4,2006,759
3,6,4,2007,635
3,6,4,2008,767
3,6,4,2009,1053
3,6,4,2010,1040
3,6,4,2011,742
3,6,4,2012,987
3,6,4,2013,1429
3,6,4,2014,1703
3,6,4,2015,1876
3,6,4,2016,595
