A1,A5,A6,A3,A2,A4
2001,0,352,18,0,0
2002,0,388,17,0,0
2003,0,428,15,0,0
2004,0,381,16,0,0
2005,0,321,10,1,0
2006,0,579,32,0,0
2007,0,500,28,0,0
2008,0,517,25,0,0
2009,0,618,42,5,2
2010,0,801,50,4,0
2011,0,799,67,2,1
2012,0,884,64,7,1
2013,0,999,69,7,2
2014,0,1098,111,13,0
2015,0,1202,130,26,2
2016,0,453,55,8,0
