1969.0,223.0,29.0,1.0,0.0
1970.0,232.0,30.0,3.0,0.0
1971.0,279.0,26.0,3.0,0.0
1972.0,236.0,41.0,3.0,0.0
1973.0,255.0,36.0,2.0,0.0
1974.0,252.0,39.0,1.0,0.0
1975.0,248.0,29.0,0.0,0.0
1976.0,239.0,43.0,2.0,0.0
1977.0,247.0,31.0,3.0,0.0
1978.0,239.0,39.0,2.0,0.0
1979.0,187.0,34.0,1.0,0.0
1980.0,227.0,29.0,0.0,0.0
1981.0,218.0,35.0,1.0,0.0
1982.0,236.0,35.0,0.0,0.0
1983.0,226.0,38.0,4.0,0.0
1984.0,213.0,36.0,1.0,0.0
1985.0,260.0,29.0,1.0,0.0
1986.0,215.0,31.0,4.0,0.0
1987.0,272.0,39.0,1.0,0.0
1988.0,229.0,58.0,2.0,0.0
1989.0,265.0,35.0,1.0,0.0
1990.0,227.0,44.0,1.0,0.0
1991.0,228.0,34.0,4.0,0.0
1992.0,256.0,37.0,4.0,0.0
1993.0,297.0,54.0,4.0,0.0
1994.0,312.0,51.0,1.0,0.0
1995.0,299.0,63.0,3.0,0.0
1996.0,292.0,62.0,3.0,0.0
1997.0,293.0,59.0,2.0,0.0
1998.0,301.0,48.0,0.0,0.0
1999.0,312.0,67.0,5.0,0.0
2000.0,360.0,63.0,5.0,0.0
2001.0,344.0,65.0,6.0,0.0
2002.0,300.0,64.0,5.0,0.0
2003.0,326.0,51.0,3.0,0.0
2004.0,301.0,56.0,5.0,0.0
2005.0,311.0,56.0,8.0,0.0
2006.0,327.0,58.0,4.0,0.0
2007.0,315.0,53.0,3.0,0.0
2008.0,350.0,77.0,10.0,0.0
2009.0,342.0,55.0,3.0,0.0
2010.0,349.0,78.0,12.0,0.0
2011.0,365.0,69.0,9.0,0.0
2012.0,340.0,60.0,5.0,0.0
2013.0,372.0,81.0,11.0,0.0
2014.0,372.0,84.0,9.0,0.0
2015.0,368.0,86.0,9.0,0.0
