A1,A5,A3,A2,A4
2001,0,8,6,0
2002,0,6,17,0
2003,0,5,12,0
2004,0,5,10,0
2005,0,8,15,0
2006,0,19,19,0
2007,0,5,18,0
2008,0,6,17,0
2009,0,9,17,0
2010,0,17,41,0
2011,0,11,29,0
2012,0,14,31,0
2013,0,6,41,0
2014,0,13,45,0
2015,0,6,68,0
2016,0,1,24,0
