A1,A3,A2,A4,A5
2001,0,0,0,0
2002,0,1,0,0
2003,1,0,0,0
2004,0,0,0,0
2005,0,2,0,0
2006,0,0,0,0
2007,0,0,0,0
2008,0,6,0,0
2009,1,3,0,0
2010,0,1,0,0
2011,0,3,0,0
2012,0,1,0,0
2013,2,1,0,0
2014,2,4,0,0
2015,0,5,0,0
2016,0,0,0,0
