Cell Line Name
10.014 pRSV-T
103-LCL
105KC
10C9
1108-MP2
1156QE
1184
1205Lu
1221
1300 mel
1301
1306
1321N1
141-LCL
141-LCL-MUC1
1411H
142BR
143.98.2
143B
149BR
153BR
155BR
161BR
166-ME SK
174BR
175BR
1777N Rpmet
180BR
182-PF SK
184A1
184B5
1A2
1A6
1B2C6
1BR3
1C3D3
1C3IKEI
1G2
2.040 pRSV-T
201B7
201T
20B8
20H11
211-LCL
22Rv1
23132/87
253G1
277-LCL
293
2A
2B8
2C6
2V6.11
305M
380
3A sub E
3A(tPA-30-1)
41M-CISR
42-MG-BA
451Lu
46BR
501A
526 mel
537 MEL
5637
577MF
59M
609MP9
60H9(9)D10.E6
617-MP17
621-101
624 mel
633
639-V
647-V
697
701-LCL
722-MP14
769-P
786-O
8-MG-BA
80T
81.3
8305C
833-KE
833KE
84BR
8505C
86-2
87-5
90.74
90196B
928 mel
950-MP5
950MP11
97-7
9D10
A-204
A-253
A-375
A-427
A-431
A-498
A-673
A-704
A-THP-1
A0010
A0031
A0042
A0050
A0055
A0058
A0065
A0072
A0082
A101D
A13A
A172
A2.1
A2058
A2780
A3
A3/KAW
A373-C6
A388
A4/Fuk
A431NS
A529L
A549
A549SF
A68177
A7
ABC-1
AC-1M32
AC-1M46
AC-1M59
AC-1M81
AC-1M88
ACC-MESO-1
ACC-MESO-4
ACC3
ACCS
ACH-1P
ACH1P
ACHN
AGLCL
AGR-ON
AGS
AHH-1
ALL-SIL
AM-38
AML-193
AML14.3D10/CCCKR3 Clone 16
AMO-1
AN3 CA
ANGM-CSS
ANJOU 65
AP-1060
ARH-77
ARPE-19
ASF-4-1
ASF-4-2
ASH-3
AT(L)5KY
AT(L)6KY
AT(L)7KY
AT-PDH1TKB
AT1OS
AT2KY
ATN-1
ATRFLOX
AU565
AW-EBV-LCL
AZ-521
Ad Hot
Al Ke
Alexander
Alexander cells
Am Coo
Am Ric
Amdur II
Amsalem
An Zan
Ar Ke-2
AsPC-1
B-3
B-CPAP
B0006
B0010
B0031
B0036
B0042
B0050
