"Cancer Type (1=Undefined, 2=Breast, 3=Male Prostate, 4=Lung)","Gender Index (1=Female, 2=Male, 3=Unspecified)","Ethnicity Index (1=Asian, 2=Black, 3=Hispanic,4=Native American, 5=White, 6=Unspecified)","Contaminant Status Index(0=Uncontaminated, 1=Contaminated, Derivative Line, 3=Nomenclature, 4=Parental, 5=Unresolved)","Donor Age (Years, -10=Unspecified)",Founding Year of Cell Line (-10=Undefined)
1,1,6,0,42,-10
1,1,5,0,-10,-10
1,1,6,0,7,-10
1,1,6,0,48,-10
1,1,6,0,-10,-10
1,1,1,0,1,-10
1,1,6,0,-10,-10
1,1,6,0,3,-10
1,1,6,0,3,-10
1,1,5,0,60,-10
1,1,6,0,62,-10
1,1,5,2,14,-10
1,1,1,0,1.7,-10
1,1,1,0,0.3,-10
1,1,1,0,2,-10
1,1,1,0,0.5,-10
1,1,1,0,1,-10
1,1,6,0,0.8,-10
1,1,6,0,0.8,-10
1,1,6,0,64,-10
1,1,6,0,2,-10
1,1,6,0,67,-10
1,1,6,2,4,-10
1,1,5,0,6,-10
1,1,5,0,2,-10
1,1,5,2,14,-10
1,1,6,4,4,-10
1,1,1,0,42,-10
1,1,5,0,44,-10
1,1,2,4,31,-10
1,1,6,0,-10,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,5,0,66,-10
1,1,5,2,41,-10
1,1,5,0,41,-10
1,1,5,0,41,-10
1,1,5,0,40,-10
1,1,6,0,76,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,6,0,-10,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,6,0,-10,-10
1,1,1,0,-10,-10
1,1,2,0,35,-10
1,1,1,0,42,-10
1,1,1,0,48,-10
1,1,6,0,29,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,6,1,50,-10
1,1,6,1,50,-10
1,1,2,4,31,-10
1,1,6,0,53,-10
1,1,1,0,34,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,5,0,29,-10
1,1,5,0,41,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,5,0,58,-10
1,1,2,4,31,-10
1,1,1,0,64,-10
1,1,1,0,40,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,5,4,66,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,5,0,47,-10
1,1,1,0,-10,-10
1,1,1,5,-10,-10
1,1,1,0,-10,-10
1,1,1,0,52,-10
1,1,1,0,-10,-10
1,1,2,4,31,-10
1,1,2,4,31,-10
1,1,1,0,55,-10
1,1,1,0,67,-10
1,1,6,0,-10,-10
1,1,6,1,50,-10
1,1,6,1,50,-10
1,1,6,5,-10,-10
1,1,6,5,-10,-10
1,1,5,0,46,-10
1,1,1,0,31,-10
1,1,1,4,34,-10
1,1,1,0,78,-10
1,1,2,4,31,-10
1,1,6,0,0.4,-10
1,1,6,0,0.4,-10
1,1,6,0,0.4,-10
1,1,2,0,0.3,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,5,4,55,-10
1,1,5,4,55,-10
1,1,6,0,55,-10
1,1,5,4,55,-10
1,1,6,0,69,-10
1,1,1,0,55,-10
1,1,5,4,44,-10
1,1,6,2,71,-10
1,1,6,2,71,-10
1,1,6,0,53,-10
1,1,6,0,58,-10
1,1,2,0,20,-10
1,1,2,0,58,-10
1,1,6,0,-10,-10
1,1,2,0,40,-10
1,1,5,2,58,-10
1,1,5,0,46,-10
1,1,5,4,44,-10
1,1,1,0,52,-10
1,1,5,0,65,-10
1,1,5,2,58,-10
1,1,5,2,58,-10
1,1,5,2,58,-10
1,1,5,4,44,-10
1,1,1,0,51,-10
1,1,6,0,73,-10
1,1,1,2,43,-10
1,1,1,2,43,-10
1,1,5,0,-10,-10
1,1,5,0,66,-10
1,1,5,0,51,-10
1,1,5,0,82,-10
1,1,5,0,81,-10
1,1,5,4,44,-10
1,1,5,0,21,-10
1,1,1,0,-10,-10
1,1,6,2,85,-10
1,1,1,0,79,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,0.1,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,0,0.2,-10
1,1,6,0,0.2,-10
1,1,1,0,-10,-10
1,1,2,0,57,-10
1,1,1,0,49,-10
1,1,1,0,53,-10
1,1,1,0,67,-10
1,1,1,0,58,-10
1,1,6,0,73,-10
1,1,6,0,-10,-10
1,1,6,0,49,-10
1,1,5,4,91,-10
1,1,5,2,91,-10
1,1,5,0,91,-10
1,1,6,4,-10,-10
1,1,6,5,-10,-10
1,1,5,0,-10,-10
1,1,5,0,1,-10
1,1,5,0,2.5,-10
1,1,1,0,48,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,1,0,-10,-10
1,1,5,0,0.9,-10
1,1,5,0,64,-10
1,1,6,4,0.3,-10
1,1,6,4,0.3,-10
1,1,6,4,0.3,-10
1,1,5,0,63,-10
1,1,6,0,52,-10
1,1,6,0,0.8,-10
1,1,5,0,56,-10
1,1,5,0,61,-10
1,1,5,0,75,-10
1,1,5,0,66,-10
1,1,3,0,58,-10
1,1,5,0,64,-10
1,1,5,0,21,-10
1,1,6,0,2,-10
1,1,1,0,-10,-10
1,1,5,0,25,-10
1,1,5,0,48,-10
1,1,6,2,-10,-10
1,1,1,1,50,-10
1,1,1,0,57,-10
1,1,1,0,55,-10
1,1,1,0,-10,-10
1,1,1,0,41,-10
1,1,1,4,-10,-10
1,1,1,0,70,-10
1,1,5,0,-10,-10
1,1,5,0,-10,-10
1,1,6,0,55,-10
1,1,6,0,53,-10
1,1,6,0,67,-10
1,1,5,0,82,-10
1,1,1,0,51,-10
1,1,6,1,-10,-10
1,1,6,0,-10,-10
1,1,6,1,-10,-10
1,1,5,0,54,-10
1,1,5,0,45,-10
1,1,5,1,12,-10
1,1,5,1,12,-10
1,1,5,1,12,-10
1,1,6,1,63,-10
1,1,1,0,74,-10
1,1,6,0,-10,-10
1,1,6,0,-10,-10
1,1,6,2,-10,-10
